,tweets,username,location
0,my classmates (? idk what the fuck to call the ppl i major w) are so weird because theyre antivax but theyre also anti capitalist? but homophobic?,yenibinnie,🇭🇺 🏳️‍🌈 ✡️ 18 white
1,@ecoengr @LilyYily It also gives antivax people the ability to order a bunch and do dumb shit like making TikToks of them burning their tests or some other dumb shit.,BongHead_420,FRISCO
2,@iamhermannk @politicalelle @ezralevant Or you could question the morals and principles of the fearmongering antivax scene scaring the ever loving shit out of people that already fear things such as the goverment and science in general so that things can get back to a healthy state.,YourHotTubs,"Earth, maybe?"
3,"Didn't know Meatloaf was antivax... that kinda sucks.

But unless it effects the playback quality of his shit on Spotify, I  don't care that much after the fact.

Not like he can do any more damage now.",tweets4twits,Rainy PDX
4,Wouldn’t it be a great time to emphasize that MeatLoaf died of COVID &amp; was antivax. Why isn’t anyone exploiting this information? Wouldn’t it be effective in making a few ppl rethink their stance? It’s about as respectful to his legacy as the clips of him losing his shit at Busey,Denteen8,"Shediac, NB Canada"
5,"I loved Meat Loaf's music back in the day. But he was an antivax, antimask, anti lockdown idiot that died from covid-19. He won his Darwin award and had only himself to blame. I am out of sympathy for these kinds of deaths.",Simba_JB1969,Searching for intelligent life
6,Ignore this muzzle hungry idiot!!! #NoMasks 😡 https://t.co/sKZoIaH8Y4,teresamorgan10,United Kingdom
7,"Holy shit I need more sleep. 
When you're reading the word ""antivax"" as ""anthrax"", things get really wild fast 😂😂",LeftwardSwing,The Osage Nation
8,"@Erika628 @BuntingRules I was actually talking about the idiot that was talking about people with covid in the UK.
Of course you do, every antivax tinfoil hat wearer that joined twitter in 2020/21 knows at least 2 people",wtid,sunny south yorkshire
9,"I’m actually bummed to hear meat loaf has passed, and lots of people will be like “ha ha but he was antivax fuck him” 

Like sure, but his music shaped my youth and I cant say that “old white classic rocker becomes a conservative as many do” is enough of a reason to be a dick",supstrawberry,ATL
10,really wish i would’ve thought twice about taking a flight full of redneck antivax/anti mask menaces who’ve been out on the strip all week 🙃 please shut the fuck up and put your mask on,arithepisces,sin city
11,@jenist @danarubinstein too bad he turned into an antivax piece of shit before he died and ruined all that 🤷‍♂️,kodkod87,"New Jersey, USA"
12,"@washingtonpost
You are fucking LIARS! RFK Jr is NOT antivax! You lying pieces of shit know this!
https://t.co/Vb3C96tY39",1minutetomidnit,
